csd_code,q,Stoichiometry,num_atoms,ligands_list,tm_oxs,ligands_q_list,reduction_pot
KEDZOI,1,C25H20AsFeO2(1+),49,"['[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1', 'c1ccc([As](c2ccccc2)c2ccccc2)cc1']",2,"[0, 0, -1, 0]",1.7713542037295988
ETOHIF,0,C12H18FeN6S2,39,"['NCCN(CCN)Cc1ccccn1', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1]",0.02974575482699554
UVAHAC,0,C13H13FeN3O2S,33,"['CN1[C]N(C)C=C1', '[C-]#[O+]', '[C-]#[O+]', '[NH-]c1ccccc1[S-]']",2,"[0, 0, 0, -2]",0.294726439741045
DEYCUI,0,C6H18FeN2O2P2,31,"['CP(C)C', 'CP(C)C', '[N-]=O', '[N-]=O']",2,"[0, 0, -1, -1]",0.8116438453921127
NEJCOV,0,C13H14F2FeO3,33,"['CC(C)(C)OC(=O)C(F)=[C-]F', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",-0.025297890458179484
FIFCAY,0,C10H8FeO6,25,"['COC(=O)[CH-]C=C[CH-]C=O', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",2.1417919318991405
IGERIX,0,C18H12FeN14,45,"['c1cc(-c2nnn[n-]2)nc(-n2cccn2)c1', 'c1cc(-c2nnn[n-]2)nc(-n2cccn2)c1']",2,"[-1, -1]",0.7677784401591177
SUNRAU,1,C11H10FeNO2S(1+),26,"['CN1C=CC#S1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.5640414694709175
AFOZUT,0,C20H18FeN6Se2,47,"['[N-]=C=[Se]', '[N-]=C=[Se]', 'c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1']",2,"[-1, -1, 0]",0.1628747364039274
DOMNEZ,0,C20H22Cl2FeN4,49,"['Cc1cccc(CN(Cc2ccccn2)Cc2cccc(C)n2)n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.0053264526655222855
ETINEB,0,C18H23FeN2PS2,47,"['CP(C)C', 'S=C1C=CC=CC1=NCCC[N-]c1ccccc1[S-]']",2,"[0, -2]",-0.07843992001401484
RIDJEU,0,C20H18FeO2Si,42,"['C[Si-](c1ccccc1)c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.3954259766665487
NUKMUD,0,C17H21FeN5O2Se2,48,"['CC1=NCCOCCOCCN=C(C)c2cccc1n2', '[N-]=C=[Se]', '[N-]=C=[Se]']",2,"[0, -1, -1]",0.4753592761149353
ZAPXAS,0,C12H16Br4FeN4,37,"['Cc1nn(C(C)n2nc(C)c(Br)c2C)c(C)c1Br', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.30885911151555395
TUTPAB,0,C10H17Cl2FeN3OP2,36,"['CP(C)Nc1cccc(NP(C)C)n1', '[C-]#[O+]', '[Cl-]', '[Cl-]']",2,"[0, 0, -1, -1]",0.9197311838962114
BEDLEC,0,C16H14FeN8O4,43,"['O=C([O-])C(n1cccn1)n1cccn1', 'O=C([O-])C(n1cccn1)n1cccn1']",2,"[-1, -1]",0.42368872336992675
FOHKUK,1,C18H17FeN2O2(1+),40,"['CN1[C]N(Cc2ccccc2)C=C1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.5247591403074476
SAHPAS,0,C14H9FeNO5S,31,"['O=C([S-])c1ccccc1[N+](=O)[O-]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.9886387282402385
VOWXEM,0,C14H12FeIN3O3,34,"['Cc1cc(C)n(C([C-]=O)c2ccccn2)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.2850181501871283
TIGDES,0,C16H16ClFeNO5,40,"['C=CCC([CH-]C=C[CH-]C#N)C(C)OC(=O)CCl', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.7381741314570849
RAZCOM,1,C15H22FeNO2(1+),41,"['C=CCN', 'Cc1c(C)c(C)[c-](C)c1C', '[C-]#[O+]', '[C-]#[O+]']",2,"[0, -1, 0, 0]",0.9769131258878267
UJUPIZ,1,C12H30ClFeN4(1+),48,"['CN(C)CCN(CCN(C)C)CCN(C)C', '[Cl-]']",2,"[0, -1]",0.1589755624758638
KIRWEP,0,C17H24FeO4Si2,48,"['C[Si](C)(C)c1c([O-])c([Si](C)(C)C)[c-]2c1CCC2', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.840178653446477
YUCLOX,0,C19H15FeO2PS,39,"['[C-]#[O+]', '[C-]#[O+]', '[S-]P(c1ccccc1)c1ccccc1', 'c1cc[cH-]c1']",2,"[0, 0, -1, -1]",1.3394644414411168
QUDCAU,1,C14H22FeO4PSe(1+),43,"['CCCOP(OCCC)[Se]C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.761503275250753
VEPVIW,0,C18H22FeO4,45,"['CC(=C[CH-]C1=C(C)CCCC1(C)C)[CH-]C=O', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.0906668592521933
NOCBFE,1,C9H13FeNO3P(1+),28,"['C[P+](C)(C)C1C=C[CH-]1', '[C-]#[O+]', '[C-]#[O+]', '[N-]=O']",2,"[0, 0, 0, -1]",1.8304467088481393
LAZCEU,0,C9H15FeIN6S2,34,"['CSC(=N)N=NC(C)=CC(C)=NN=C([NH-])SC', '[I-]']",2,"[-1, -1]",0.4512649195132122
UHIZEQ,0,C17H14FeO4,36,"['O=C1CCC[C-]1C=C[CH-]c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.9118746010615622
AFOYOM,0,C20H18FeN6Se2,47,"['[N-]=C=[Se]', '[N-]=C=[Se]', 'c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1']",2,"[-1, -1, 0]",0.2344533212418874
AWONIL,0,C20H24Cl2FeN2,49,"['CC(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.40893504476121995
VOVRED,0,C20H18FeO5,44,"['CCC(=C=C[CH-]C=C[CH-]C(=O)OC)c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.3410364120320482
IRIBOA,0,C14H12FeN6O2S4,39,"['NC([S-])=NN=Cc1cccs1', 'NC([S-])=NN=Cc1cccs1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",0.8679850345882565
MUDVAI,0,C14H24Cl2FeN2,43,"['C(C=NC1CCCCC1)=NC1CCCCC1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.23908165758585903
VADPAR,0,C17H16FeO2S4,40,"['[C-]#[O+]', '[S-]c1ccccc1SCCOCCSc1ccccc1[S-]']",2,"[0, -2]",0.5147647247657152
GEXYEN,0,C18H12FeN2O10,43,"['O', 'O', 'O=C1C([N+](=O)[O-])=C([O-])c2ccccc21', 'O=C1C([N+](=O)[O-])=C([O-])c2ccccc21']",2,"[0, 0, -1, -1]",1.1236509207053753
OTAGUN,0,C16H22B2FeN4S2,47,"['[BH3-]C#N', '[BH3-]C#N', 'c1ccc(CSCCSCc2ccccn2)nc1']",2,"[-1, -1, 0]",0.7068850261034052
HAJGAB,0,C20H16Cl2FeN4,43,"['[Cl-]', '[Cl-]', 'c1ccc(-c2ccccn2)nc1', 'c1ccc(-c2ccccn2)nc1']",2,"[-1, -1, 0, 0]",0.10189105364209433
CUJBOY,0,C19H15FFeO2Si,39,"['F[Si-](c1ccccc1)c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.722130391781161
BAYTIE,0,C19H20FeN2O2S2,46,"['CCN(CC)C([S-])=S=C=NC(=O)c1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.11947357555548771
XEJPOS,0,C6H16FeN4O2,29,"['CN(C)CCN(C)C', '[N-]=O', '[N-]=O']",2,"[0, -1, -1]",-0.12642908424969884
TULQIB,0,C22H19Cl2FeN3O,48,"['CC(=Nc1c(C)cccc1C)c1cccc(-c2nc3ccccc3o2)n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.5448914506266147
ISOWOC,0,C12H13FeNO4,31,"['C=CC(C=C[CH2-])N([C-]=O)CC', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.8259812928371282
QAYXOF,1,C16H21FeN2O2(1+),42,"['Cc1c(C)c(C)[c-](C)c1C', 'Cn1ccnc1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, 0, 0, 0]",1.4385981486566493
XOPDAJ,-1,C19H13FeN6OS3(1-),43,"['OC(c1ccccn1)(c1ccccn1)c1ccccn1', '[N-]=C=S', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1, -1]",0.29553268735421573
HOBVIF,0,C17H12FeINO5,37,"['O=[C-]Cc1cccc(COC(=O)c2ccccc2)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.2699229366199611
ACAZFE,0,C11H9FeNO4,26,"['CC(=O)c1c[nH][cH-]cc[cH-]1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.9451312042841999
VIVKAN,0,C19H11F3FeO4,38,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[O-][C-](C=Cc1cccc(C(F)(F)F)c1)c1ccccc1']",2,"[0, 0, 0, -2]",1.20181434310608
FIYHUT,1,C18H28FeN(1+),48,"['CCCCC[N+](C)(C)C[c-]1cccc1', 'c1cc[cH-]c1']",2,"[0, -1]",0.016448077963860552
FISBIS,0,C10H6FeO7,24,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[CH2-]C(=C[C-]=O)OC(C)=O']",2,"[0, 0, 0, 0, -2]",2.268087954998048
CAWMAP,0,C12H24FeO2P2,41,"['CP(C)C', 'CP(C)C', '[C-]#[O+]', '[C-]#[O+]', '[CH-]=C', '[CH-]=C']",2,"[0, 0, 0, 0, -1, -1]",1.227651153551515
DOWQAI,0,C16H13FeNO4,35,"['O=C1[N-]C(=O)C2C3C=CC(C3)C12', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.7671650798705991
GUCBAJ,0,C20H16BrFeN5,43,"['Cc1cccc(N=C2N=C(N=c3cccc(C)[n-]3)c3ccccc32)n1', '[Br-]']",2,"[-1, -1]",0.4606261522916986
BUJVEH,0,C21H17FeNO4,44,"['C[C-](C=Cc1ccccc1)N([C-]=O)Cc1ccccc1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.08683645457286976
RORKUE,0,C19H15FeN3S2,40,"['S=C1C=CC=CC1=NC=C[N-]c1ccccc1[S-]', 'c1ccncc1']",2,"[-2, 0]",0.049633073247821013
SIFXAG,0,C12H15FeIO2,31,"['CC1(C)[C]OCC1', '[C-]#[O+]', '[I-]', 'c1cc[cH-]c1']",2,"[0, 0, -1, -1]",0.5554755304921197
PUXRIK,0,C15H26Cl2FeN2Si,47,"['CC(C)[Si](N=Cc1ccccn1)(C(C)C)C(C)C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.6520995358465231
ZIXJAR,1,C17H20FeNO2Si(1+),42,"['C[Si-]1c2ccccc2C[N+]1(C)C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.8433415588395936
PERWAM,0,C12H12Cl2FeN4S3,34,"['[Cl-]', '[Cl-]', 'c1csc(CN(Cc2nccs2)Cc2nccs2)n1']",2,"[-1, -1, 0]",0.06975639227923108
FOHGIU,1,C18H19FeN2O2(1+),42,"['CCN1[C]N(CC)c2ccccc21', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.622378794607483
NUCBES,1,C9H11F2FeN2O2S(1+),28,"['CN(C)S(#N)(F)F', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",0.6664180113339391
HOSRUD,0,C12H12FeN10O2,37,"['C1=C[N-]C(=C2N=NN=N2)C=C1', 'C1=C[N-]C(=C2N=NN=N2)C=C1', 'O', 'O']",2,"[-1, -1, 0, 0]",0.8715647886251368
MIGDAI,0,C20H14FeN2O2,39,['[O-]c1ccccc1C=Nc1ccccc1N=Cc1ccccc1[O-]'],2,[-2],0.08229756282805029
UGEWOT,0,C16H8Cl2FeO5S,33,"['O=C([S-])c1cc(C(=O)Cl)cc(C(=O)Cl)c1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.0365260476395262
BICDUN,0,C14H23ClFeO2P2,43,"['CP(C)C', 'CP(C)C', '[C-]#[O+]', '[C-]#[O+]', '[Cl-]', '[c-]1ccccc1']",2,"[0, 0, 0, 0, -1, -1]",1.431102983490226
MIBYUU,0,C13H9FeN3O3S,30,"['O=[C-]Nc1ccccn1', 'S=c1cccc[n-]1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",0.8282885697087925
BOYJUW,0,C21H17FeNO2S4,46,"['COc1cc(CSc2ccccc2[S-])nc(CSc2ccccc2[S-])c1', '[C-]#[O+]']",2,"[-2, 0]",0.576255961246513
BELJUZ,0,C15H21ClFeO2,40,"['CC(C)(C)c1cc[c-](C(C)(C)C)c1', '[C-]#[O+]', '[C-]#[O+]', '[Cl-]']",2,"[-1, 0, 0, -1]",1.2465933019853217
ZAGVUY,0,C21H14FeO4S,41,"['O=C([S-])C(C=Cc1ccccc1)=C[CH-]c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.106282119607943
TAXSOC,1,C25H20FeO2P(1+),49,"['[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1', 'c1ccc(P(c2ccccc2)c2ccccc2)cc1']",2,"[0, 0, -1, 0]",2.1682961147054236
VOWXAG,0,C12H5F4FeNO2,25,"['Fc1[c-]c(F)c(F)nc1F', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.6432037030329256
QEFFOY,0,C12H16Br2FeN8,39,"['[Br-]', '[Br-]', 'c1cn[nH]c1', 'c1cn[nH]c1', 'c1cn[nH]c1', 'c1cn[nH]c1']",2,"[-1, -1, 0, 0, 0, 0]",0.14431119002207976
PIYPAO,0,C9H8FeO5,23,"['CO[CH-]C=C[CH-]C=O', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.1236559971092646
YUTKIH,0,C18H17FeNO5,42,"['CC(=C[CH-]c1ccccc1)C(=O)N1[CH-]OCCC1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.7595828824598276
HIDGAD,0,C15H18FeN8S2,44,"['CC(C)(CN=Cc1c[nH]cn1)CN=Cc1c[nH]cn1', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1]",0.028895938834769208
TAKKUO,0,C11H10FeINO5,29,"['COCOc1cccc(C[C-]=O)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.5065096169419767
XOPSEB,1,C10H22FeN5O(1+),39,"['NCCCNCCNCCCN', '[C-]#N', '[C-]#[O+]']",2,"[0, -1, 0]",1.1933373071151523
WOHCAZ,1,C13H17FeN2O2(1+),35,"['C1CN2CCN1CC2', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.5965801370057748
LAYQUY,0,C18H14FeN8S2,43,"['[N-]=C=S', '[N-]=C=S', 'c1ccc(-c2cc[nH]n2)nc1', 'c1ccc(-c2cc[nH]n2)nc1']",2,"[-1, -1, 0, 0]",0.2882946739780257
POXXOS,0,C16H12FeINO3S,35,"['CSc1ccccc1-c1cccc(C[C-]=O)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.4144106781887327
NEFSIC,1,C24H21FeNOP(1+),49,"['[C-]#[O+]', 'c1cc[cH-]c1', 'c1ccc(P(Cc2ccccn2)c2ccccc2)cc1']",2,"[0, -1, 0]",1.0634890111340656
IHUXUF,1,C17H24FeN3O(1+),46,"['CC#N', 'CC(C)N1[C]N(C(C)C)C=C1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",0.8888635509999767
YOJVOJ,0,C16H16Br2FeN2,37,"['CC(=Nc1ccccc1)C(C)=Nc1ccccc1', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.32486749007537946
OROWOJ,0,C13H29Br2FeNOP2,49,"['CCP(CC)CCNCCP(CC)CC', '[Br-]', '[Br-]', '[C-]#[O+]']",2,"[0, -1, -1, 0]",0.5215302007153981
SOCBUH,1,C19H15FeO2S(1+),38,"['[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1', 'c1ccc(Sc2ccccc2)cc1']",2,"[0, 0, -1, 0]",1.5302848211364652
TAKLEZ,0,C16H14FeN2O5S,39,"['COCOc1cccc(C[C-]=O)n1', 'S=c1cccc[n-]1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.229714632412861
BODWOG,0,C16H25FeN2O2P,47,"['CN1CCN(C)[P-]1', 'Cc1c(C)c(C)[c-](C)c1C', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",0.21705644591190315
TPYFEC,0,C20H20Cl2FeN4,47,"['[Cl-]', '[Cl-]', 'c1ccncc1', 'c1ccncc1', 'c1ccncc1', 'c1ccncc1']",2,"[-1, -1, 0, 0, 0, 0]",0.1334716445447855
JEJROI,0,C22H18FeN6Se2,49,"['[N-]=C=[Se]', '[N-]=C=[Se]', 'c1cnc2c(NCCNc3cccc4cccnc34)cccc2c1']",2,"[-1, -1, 0]",0.037685204056281674
DEPMUJ,-1,C15H3F18FeO6(1-),43,"['O=C(C=C([O-])C(F)(F)F)C(F)(F)F', 'O=C(C=C([O-])C(F)(F)F)C(F)(F)F', 'O=C(C=C([O-])C(F)(F)F)C(F)(F)F']",2,"[-1, -1, -1]",0.524735038499492
LUXJUJ,0,C10H18F6FeN4O6S2,47,"['CC#N', 'NC1CC(N)CC(N)C1', 'O=S(=O)([O-])C(F)(F)F', 'O=S(=O)([O-])C(F)(F)F']",2,"[0, 0, -1, -1]",0.7131031916756283
ZIXJEV,1,C18H24FeNO3Si(1+),48,"['CO[Si-](C)c1ccccc1C[NH+](C)C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.6465443388159586
SOCBER,1,C9H11FeO2S(1+),24,"['CSC', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.7185611539124765
UCUJUZ,0,C13H20FeI2N4,40,"['CC(C)N1[C]N(CN2[C]N(C(C)C)C=C2)C=C1', '[I-]', '[I-]']",2,"[0, -1, -1]",-0.21364392770083657
REHZEK,0,C7H6FeO3,17,"['C=C([CH2-])[CH2-]', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",2.198194303693497
TEKHIC,0,C18H22FeN6S2,49,"['CN(C)CCN(Cc1ccccn1)Cc1ccccn1', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1]",0.21933126528397368
NUKMIR,0,C17H21FeN5O2S2,48,"['CC1=NCCOCCOCCN=C(C)c2cccc1n2', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1]",0.4397768912689955
KISDOF,0,C11H15BCl4FeNO3P,37,"['CCN(CC)P(Cl)O[B-](Cl)(Cl)Cl', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.09223939607936221
WUZMEJ,0,C19H18FeO9S,48,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[CH2-]C=CC([CH-]C(=O)OC)C(C(=O)OC)S(#[O+])([O-])c1ccccc1']",2,"[0, 0, 0, -2]",2.07542196756484
FUQXEW,1,C14H13FeO7(1+),35,"['CCOC(=O)C1(OC(C)=O)C=CC=C[CH-]1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, 0, 0, 0]",1.7487417481654777
GESKOH,0,C15H12BF3FeN2O4S,39,"['O=[C-]Cc1cccc(CO[B-](F)(F)F)n1', 'S=c1cccc[nH]1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.3688255921977415
NOYZIM,0,C16H12FeN2O6S,38,"['COc1cccc(C(=O)[S-])n1', 'O=[C-]Cc1cccc(O)n1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.6900500735647161
NENNEA,1,C11H18FeN3O2(1+),35,"['NCCNCCN=Cc1ccccc1[O-]', 'O']",2,"[-1, 0]",0.014286239625567465
BOFFIL,0,C10H10FeN4O6,31,"['O', 'O', 'O=C([O-])c1cnccn1', 'O=C([O-])c1cnccn1']",2,"[0, 0, -1, -1]",0.976619391608393
WUCCAY,-1,C14H16FeN3O3S2(1-),39,"['CC(C)([S-])C(=O)N=C1C=CC=CC1=NC(=O)C(C)(C)[S-]', '[N-]=O']",2,"[-2, -1]",0.9055575120637609
UCIWOS,0,C14H15F3FeN2O6S,42,"['CC(C)N=Cc1ccccn1', 'C[C-]=O', 'O=S(=O)([O-])C(F)(F)F', '[C-]#[O+]', '[C-]#[O+]']",2,"[0, -1, -1, 0, 0]",1.8196477466359269
FEHJEK,0,C15H11BrFeN2O3S,34,"['CSc1ccccc1-c1cccc(N[C-]=O)n1', '[Br-]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.6245837156315897
DUSGIJ,0,C18H12FeN14,45,"['c1cc(-c2nnn[n-]2)nc(-n2cccn2)c1', 'c1cc(-c2nnn[n-]2)nc(-n2cccn2)c1']",2,"[-1, -1]",0.5793462604126336
RAXVAN,0,C18H20FeO3Si,43,"['C[Si](C)(C)C1=C([C-]=O)C2C=CC1C2', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.1086689629815536
DORPIJ,-1,C12H9FeN6S3(1-),31,"['S=c1nccc[n-]1', 'S=c1nccc[n-]1', 'S=c1nccc[n-]1']",2,"[-1, -1, -1]",-0.17451419063303514
CPYFEM,0,C20H20Cl2FeN4,47,"['[Cl-]', '[Cl-]', 'c1ccncc1', 'c1ccncc1', 'c1ccncc1', 'c1ccncc1']",2,"[-1, -1, 0, 0, 0, 0]",0.09615790928523521
QALZUZ,0,C18H18Cl2FeN4,43,"['[Cl-]', '[Cl-]', 'c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1']",2,"[-1, -1, 0]",-0.07148632822885687
BCNFEC,0,C12H6FeO4,23,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[O-]c1ccc2c[cH-]c-2cc1']",2,"[0, 0, 0, -2]",0.753830395222576
TERPIP,1,C10H9FeO4(1+),24,"['COC1=CC=CC[CH-]1', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, 0, 0, 0]",0.6975566044091941
VIVKIV,0,C18H11FFeO4,35,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[O-][C-](C=Cc1ccccc1F)c1ccccc1']",2,"[0, 0, 0, -2]",1.2186454275359437
QACVUN,0,C15H26Cl2FeN2,46,"['C1CCN2CC3CC(CN4CCCCC34)C2C1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.23830342077432115
VACFUA,1,C16H19FeO2(1+),38,"['C1=C2CCC(CC1)CC2', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.755874038311714
XOPJUH,0,C16H16FeN10S2,45,"['[N-]=C=S', '[N-]=C=S', 'c1cnn(Cn2cccn2)c1', 'c1cnn(Cn2cccn2)c1']",2,"[-1, -1, 0, 0]",0.35804217631301755
HACCAP,0,C16H24FeNO2P,45,"['CC=C[CH-]CC=[C-]C#N', 'CCP(CC)CC', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.254621787781941
CPFEFP,1,C8H5FeO3(1+),17,"['[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",2.449956050278593
CEHXIZ,0,C10H12Cl2FeN16,41,"['C1Nc2nc(n[nH]2)-c2n[nH]c(n2)NCNc2nc(n[nH]2)-c2n[nH]c(n2)N1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.17625353794717374
TAWLAG,-1,C22H15FeIN2O2P(1-),44,"['[C-]#N', '[C-]#N', '[C-]#[O+]', '[C-]#[O+]', '[I-]', 'c1ccc(P(c2ccccc2)c2ccccc2)cc1']",2,"[-1, -1, 0, 0, -1, 0]",1.7269091345640921
VOWXIQ,0,C18H22FeIN3O3,48,"['CCCC[C-]=O', 'Cc1cc(C)n(Cc2ccccn2)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, 0, -1]",1.296832450519905
KEGPAN,1,C21H18FeNO4(1+),45,"['COc1ccc(C=[N+]([O-])c2ccccc2)cc1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.3899328045421855
FOHCIQ,1,C19H19FeN2O2(1+),43,"['CCN1[C]N(Cc2ccccc2)C=C1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.677073509849336
JEJREY,0,C22H18FeN6S2,49,"['[N-]=C=S', '[N-]=C=S', 'c1cnc2c(NCCNc3cccc4cccnc34)cccc2c1']",2,"[-1, -1, 0]",0.026447172530328633
ACUZII,0,C9H6FeO7,23,"['CC(C)([C-]=O)O[C-]=O', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0, 0]",2.2611454625594565
CATGIN,0,C20H21FeO3P,46,"['CP(C)c1ccccc1', 'C[C-]([O-])C=Cc1ccccc1', '[C-]#[O+]', '[C-]#[O+]']",2,"[0, -2, 0, 0]",1.0137035665126193
MENHOF,0,C20H20FeO5Si,47,"['C[Si](C)(C)[c-]1c2c([c-](-c3ccccc3)c1=O)C(O)CC2', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.6640568082959815
OJEBEK,-1,C13H17FeN5P(1-),37,"['C1N2CN3CN1CP(C2)C3', '[C-]#N', '[C-]#N', 'c1cc[cH-]c1']",2,"[0, -1, -1, -1]",0.6949010087623539
